level,question,answer,topic
Medium,The first two apostles to be called by Jesus Christ were?,Andrew and Peter,bible
Medium,"According to the Book of Genesis, which Egyptian official was Joseph's master?",Potiphar,bible
Easy,David had a daughter named what?,Tamar.,bible
Easy,Who turned into a pillar of salt after she looked back to see Sodom and Gomorrah burn to the ground?,Lot's wife,bible
Hard,"After Jesus fasted in the desert, what was His first temptation in the wilderness?",Tempted to turn stone into bread,bible
Medium,Who is regarded as the 13th apostle of Christ to replace Judas Iscariot?,Matthias,bible
VeryHard,Who was Abraham's second wife?,Keturah,bible
Easy,What artifact did Moses use to perform miracles and wonders in Egypt?,A wooden staff,bible
Easy,Our faith can only be found in?,Redemptive Power of God,bible
Hard,At what age was Abraham when Isaac was born?,100,bible
Medium,Jacob had how many sons in total?,12,bible
Easy,The last plague that God leveled on the Egyptians was?,The death of all first born in Egypt,bible
Hard,A number of Christians were prosecuted in the early days of Christianity. Who was the first to sadly perish?,Stephen,bible
Hard,Which prophet of God did Jezebel want to kill?,Elijah,bible
Easy,"What book of the Bible says, ""But the children of Israel walked upon dry land in the midst of the sea""?",Exodus,bible
Medium,Which personality in the Bible got blinded by a bright light on his way to Damascus?,Saul,bible
Hard,Who in the New Testament got shipwrecked on one of his missionaries?,Paul,bible
Medium,The village where Christ turned water into wine is known as?,Cana,bible
VeryHard,In which land did Moses die?,Moab,bible
Easy,Which Prophet of Jehovah got thrown in a den of lions?,Daniel,bible
Medium,How did Moses first encounter the Lord?,Burning bush,bible
Medium,Which of the disciples did Jesus order to get behind him?,Peter,bible
Medium,Joshua is famous for having commanded what to stay still?,Moon and Sun,bible
Hard,"After Jesus fasted in the desert, what was His first temptation in the wilderness?",Tempted to turn stone into bread,bible
Medium,The village where Christ turned water into wine is known as?,Cana,bible
Medium,Joshua is famous for having commanded what to stay still?,Moon and Sun,bible
Medium,"After his meeting with Jesus Christ on his way to Damascus, what does Saul of Tarsus' name changes into?",Paul,bible
VeryHard,Who are Nahor and Haran?,Brothers of Abraham,bible
Hard,A number of Christians were prosecuted in the early days of Christianity. Who was the first to sadly perish?,Stephen,bible
Medium,What was the name of the sister of Aaron and Moses?,Miriam,bible
Hard,How many pieces of silver did Joseph's brothers receive from Joseph's sale into slavery?,20,bible
Easy,In what river did John the Baptist conduct his baptisms?,River Jordan,bible
Medium,How many days and nights did Jonah spend in the great fish's belly?,3 days and 3 nights,bible
Easy,"The giant, Goliath the Philistine, got knocked down by which prophet of God?",David,bible
Medium,Who was the second son of Adam?,Abel,bible
Medium,The two men in the Old Testament who walked with God are?,Noah and Enoch,bible
Medium,David played what musical instrument?,The harp,bible
Hard,Who did Elisha order to wash seven times in the river Jordan to cure his leprosy?,Naaman,bible
Easy,What is the name of the angel that appeared before Mary?,Angel Gabriel,bible
Medium,The Creator molded man on what day?,The Sixth,bible
Medium,Which disciple of Jesus Christ doubts our Savior's resurrection until he sees Him?,Thomas,bible
Medium,"What is the name of the woman who single-handedly brought to ruins the strongest man ever, Samson?",Delilah,bible
Medium,What is the name of the mountain that Abraham almost sacrificed his son on?,Mount. Moriah,bible
Hard,Who in the New Testament got shipwrecked on one of his missionaries?,Paul,bible
Medium,"In December 2018, which African country was rocked by food riots?",Sudan,food-drink
Easy,Guinness beer was first brewed in which country?,Ireland,food-drink
Hard,In what year was the McDonald's Happy Meal created?,1977,food-drink
Medium,Which condiment is traditionally served with fried seafood in the United States?,Tartar Sauce,food-drink
Easy,What are dried plums called?,Prunes.,food-drink
VeryHard,Basundi is a dairy product that is popular in which part of the world?,India,food-drink
Hard,Visiting which fast-food joint has become a Christmas tradition in Japan?,Kentucky Fried Chicken,food-drink
VeryHard,What is the only edible food that is said to never spoils?,Honey,food-drink
Easy,"Which popular candy was featured prominently in the classic film ""E.T., the Extra-Terrestrial""?",Reece's Pieces,food-drink
Hard,Hickory trees produce which types of nuts?,Pecans,food-drink
VeryHard,Kiwifruit are indigenous to which part of the world?,China,food-drink
VeryHard,What is the scientific name of the plant used to make liquorice?,Glycyrrhiza Glabra,food-drink
Easy,"A snack made from marshmallows, graham crackers and chocolate is called what?",S'more,food-drink
Hard,Which is the largest food and drink company in the world?,Nestlé,food-drink
VeryHard,"What does the Japanese term ""Sandai Wagyu"" translate as?",Three Big Beefs,food-drink
Medium,Which celebrity owns Deleon Tequila?,P. Diddy,food-drink
Easy,What is sushi traditionally wrapped in?,Seaweed,food-drink
Medium,Monterey Jack is a type of what?,Cheese,food-drink
VeryHard,Who are the first people known to have consumed chocolate?,Olmecs,food-drink
Hard,What is the official State fruit of New York?,Apple,food-drink
VeryHard,"In 2014, a criminal gang in China used the chemical rongalite to flood the market with which contaminated food?",Tofu,food-drink
Medium,Mozzarella sticks are prepared using which type of cooking process?,Deep Frying,food-drink
Hard,"L-cysteine, an amino acid used to preserve the shelf life of bread, is made up of what?",Human Hair,food-drink
VeryHard,What is the name of the hottest pepper in the world?,Carolina Reaper,food-drink
Medium,Which of the following farming techniques often results in the increase of pests and diseases?,Monocropping,food-drink
Easy,What popular beverage once contained cocaine?,Coca-Cola,food-drink
Easy,In what year was the blue M&M introduced?,1995,food-drink
VeryHard,"Which of the following dishes is a combination of eggs, lemon juice and broth?",Avgolemono,food-drink
Easy,What food is Hummus made from?,Chickpeas,food-drink
Medium,"In the movie ""the Last Dragon"", Bruce Leroy's father owned which type of restaurant?",Pizza,food-drink
Medium,Red Stripe is a popular beer brand that originates from which country?,Jamaica,food-drink
Easy,What was the original flavor of the filling in Twinkies?,Banana Cream,food-drink
Easy,What is the main ingredient of a mince pie?,Fruit,food-drink
VeryHard,Who are the first people known to have consumed chocolate?,Olmecs,food-drink
VeryHard,"How many pounds of food does Hollywood superstar Dwayne ""the Rock"" Johnson consume daily?",10,food-drink
Medium,Which cocktail was made famous by rapper Snoop Doggy Dogg in the 1990's?,Gin & Juice,food-drink
Easy,The United States state of Georgia is famous for what fruit?,Peach,food-drink
Medium,Mr. Pibb was a soft drink created by the Coca-Cola Company to compete with what other soft drink?,Dr. Pepper,food-drink
VeryHard,"In 2014, a criminal gang in China used the chemical rongalite to flood the market with which contaminated food?",Tofu,food-drink
Medium,"The movie ""Rush Hour 2"" poked humor at China for consuming which type of animal meat?",Dogs,food-drink
Hard,Hickory trees produce which types of nuts?,Pecans,food-drink
Hard,Which company received a major backlash for changing its traditional recipe in the mid 1980's?,Coca Cola,food-drink
Medium,What is the main ingredient in makizushi?,Sushi,food-drink
Easy,A buffalo burger is made of which type of meat?,Bison,food-drink
Easy,"A snack made from marshmallows, graham crackers and chocolate is called what?",S'more,food-drink
VeryHard,"How many pounds of food does Hollywood superstar Dwayne ""the Rock"" Johnson consume daily?",10,food-drink
Medium,What is the name of the breakfast cereal produced by World Wrestling Entertainment (the WWE)?,Booty O's,food-drink
VeryHard,Basundi is a dairy product that is popular in which part of the world?,India,food-drink
Easy,"""Twinkies"" are produced by which famous company?",Hostess,food-drink
Medium,Which type of pastry is boiled before it is baked?,Bagel,food-drink
Easy,"In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell",John Carpenter ,history
Medium,"Who wrote the novel ""To Kill a Mockingbird"", published in 1960?",Harper Lee,history
Easy,Who is the only U.S. president to serve more than two terms?,Franklin D. Roosevelt,history
Hard,Which woman was second on Forbes magazine's list of the World's Most Powerful People in 2015?,Anglea Merkel,history
Easy,What was the term for the official policy of racial segregation in South Africa until 1994?,Apartheid,history
Medium,New York City was originally known by which Dutch name?,Nieuw Amsterdam,history
Medium,Joseph Smith was the founder of what religion?,Mormonism,history
Easy,In which US state is US president JFK buried?,Virginia,history
Medium,"Who renamed the presidential yacht ""Honey Fritz,"" in honor of his grandfather, a former Boston mayor?",John F. Kennedy,history
Hard,In which ancient South Asian language is the text of The Vedas written?,Sanskrit - The religious poems originated in northwestern India in 1500-1000 BCE.,history
Easy,How many U.S. Presidents have there been?,45,history
Easy,"Published after her death, what did teenager Anne Frank leave behind?",Diary,history
Medium,Which patriotic Bostonian won the acquittal of most of the British troops involved in the 1770 Boston Massacre that killed five civilians?,John Adams - He strongly believed all people deserved a fair trial and a thorough defense.,history
Easy,The sale of what was prohibited during prohibition?,Alcohol,history
Medium,What is the world's smallest country?,Vatican,history
Easy,When did the Cold War officially end?,1989,history
Hard,Which woman was second on Forbes magazine's list of the World's Most Powerful People in 2015?,Anglea Merkel,history
Medium,"On what day of the week did the Normandy Invasion of June 6, 1944 take place?",Tuesday,history
Medium,"Which president, the first to receive a Secret Service code name, was called ""General,"" even though he was only a captain in World War I?",Harry Truman,history
Easy,Who was the first Roman Catholic to be Vice President of the United States of America?,Joe Biden,history
Easy,"In what year did Christopher Columbus discover the ""New World""?",1492,history
Easy,What is William Driver's nickname for the American Flag?,Old Glory,history
Hard,In which ancient South Asian language is the text of The Vedas written?,Sanskrit - The religious poems originated in northwestern India in 1500-1000 BCE.,history
Medium,Which one of the seven ancient wonders of the world is still standing today?,The Great Pyramid of Giza,history
Medium,What is the world's smallest country?,Vatican,history
Hard,Which Kentucky-born U.S. president is honored in the Wrestling Hall of Fame?,Abraham Lincoln,history
Easy,In what year did Fidel Castro die?,2016,history
Easy,Malcolm Little was a civil rights activist better known by what name?,Malcolm X,history
Easy,In what year did India gain its independence from Britain?,1947,history
Medium,Who is the pre-Civil War author of a short story about a beating heart beneath the floorboards?,Edgar Allan Poe - The famous piece is The Tell-Tale Heart.,history
Easy,In what state was Barack Obama born in?,Hawaii,history
Easy,The sale of what was prohibited during prohibition?,Alcohol,history
Easy,What is the roman name for the goddess Hecate?,Trivia,history
Easy,How many U.S. Presidents have there been?,45,history
Easy,How many US presidents have been elected for two terms?,12 US presidents,history
Easy,In what year did India gain its independence from Britain?,1947,history
Hard,"In the 1984 vice presidential debates, who was George H.W. Bush's opponent?",Geraldine Ferraro,history
Easy,Who is the only U.S. president to serve more than two terms?,Franklin D. Roosevelt,history
Easy,In which US state is US president JFK buried?,Virginia,history
Easy,Who is remembered for his large and stylish signature on the United States Declaration of Independence?,John Hancock,history
Easy,Who is remembered for his large and stylish signature on the United States Declaration of Independence?,John Hancock,history
Easy,A 1985 North Atlantic expedition led by Robert Ballard discovered the wreck of what famous ship 73 years after it sank?,The Titanic ,history
Medium,Who was the first president of the United States to live in the White House?,President John Adams,history
Medium,How many people make up the U.S. electoral college?,538,history
Medium,Which patriotic Bostonian won the acquittal of most of the British troops involved in the 1770 Boston Massacre that killed five civilians?,John Adams - He strongly believed all people deserved a fair trial and a thorough defense.,history
Medium,Name the second president of the United States of America.,John Adams,history
Medium,Which company was purchased by eBay in 2002 to replace Billpoint as the online auction site's preferred payment method?,PayPal,history
Easy,Ulysses S. Grant appears on the front of which denomination of US. currency,$50 bill,history
Easy,In what year did World War II end?,1945,history
Easy,"What does the ""B"" stand for in Lyndon B. Johnson?",Baines,history
Medium,What is the only sea on Earth with no coastline?,Sargasso Sea,geography
Easy,In which U.S. state would you find Mount Rushmore?,South Dakota,geography
Medium,Which country is home to the World Heritage Site Machu Picchu?,Peru,geography
Medium,What is the main dialect of Chinese spoken in Hong Kong by the majority of the locals?,Cantonese,geography
Medium,In which state of the United States would you find Fort Knox?,Kentucky,geography
Easy,Mount Everest is in which mountain chain?,Himalayas,geography
Easy,What city is second largest in Australia?,Melbourne,geography
Easy,What is the oldest city in the United States?,"Saint Augustine, Florida",geography
Easy,What is the longest river in South America?,Amazon,geography
Easy,"In the South, Hominy when ground is more popularly know as what?",Grits,geography
Easy,What is the smallest state in the U.S.?,Rhode Island,geography
Easy,On which street was the New York Stock Exchange established?,Wall Street,geography
Medium,Yerevan is the capital of what country?,Armenia,geography
Medium,Sicily is the largest island in which sea?,Mediterranean Sea,geography
Medium,In which state of the United States would you find Fort Knox?,Kentucky,geography
Easy,Which U.S. state is closest to Africa?,Maine ,geography
Easy,What is the largest lake in Africa?,Lake Victoria,geography
Medium,The duck billed platypus is native to what country?,Australia ,geography
Hard,"Which Nordic country was first to give women the right to vote, in 1906?",Finland,geography
Hard,Which school was Maya Lin attending when she designed the Vietnam Veterans Memorial as part of a class assignment?,"Yale University - Initially scorned, the memorial is now cherised by millions of visitors each year.",geography
Medium,In which state is the historic Shinnecock Hills Golf Club located?,New York - The Long Island club was founded in 1891.,geography
Easy,"In the South, Hominy when ground is more popularly know as what?",Grits,geography
Hard,Which U.S. capital cities have rhyming names?,"Austin and Boston - They are the capitals of Texas and Massachusetts, respectively.",geography
Medium,What is the only sea on Earth with no coastline?,Sargasso Sea,geography
Medium,"With over 35 million residents, what is the most populous city in the world?",Tokyo,geography
Easy,What is the largest lake in Africa?,Lake Victoria,geography
Easy,What is earth's largest ocean by surface size?,Pacific,geography
Medium,Which district in central Tokyo is particularly famous for its electronics?,Akihabara,geography
Easy,Which U.S. Interstate highway is the longest?,Interstate 90,geography
Easy,What is the longest river in South America?,Amazon,geography
Medium,"With over 35 million residents, what is the most populous city in the world?",Tokyo,geography
Medium,The duck billed platypus is native to what country?,Australia ,geography
Medium,Which country (and it's territories) cover the most time zones?,France,geography
Easy,Mount Everest is in which mountain chain?,Himalayas,geography
Easy,Which U.S. state is closest to Africa?,Maine ,geography
Medium,"In what city is the historic Arcade shopping mall, which now houses micro-lofts along with its retail shops?","Providence, Rhode Island - The mall was completed in 1928.",geography
Medium,What cattle end-product was anmed Wisconsin's Unofficial State Muffin in 1989?,"Cow Chip - If you're not sure what a cow chip is, just please don't try to eat this ""muffin.""",geography
Easy,Which U.S. cities are you flying between if the airport codes on your ticket are ATL and PDX?,Atlanta and Portland,geography
Hard,Which school was Maya Lin attending when she designed the Vietnam Veterans Memorial as part of a class assignment?,"Yale University - Initially scorned, the memorial is now cherised by millions of visitors each year.",geography
Easy,What is the name of the Capital of New Zealand that is the southernmost national capital in the world?,Wellington,geography
Easy,Which is the only US state to produce coffee beans?,Hawaii,geography
Easy,"What mountains on India's Northern border are nicknamed ""Snow Abode""?",The Himalayas,geography
Medium,"Off what country are the islands of Islay, Mull, and St. Kilda located - Ireland, Scotland, or Iceland?",Scotland - There are over 790 islands in Scotland; around 130 are inhabited.,geography
Medium,What nation produces two thirds of the world’s vanilla?,Madagascar,geography
Medium,What is the main dialect of Chinese spoken in Hong Kong by the majority of the locals?,Cantonese,geography
Medium,The Black Forest is located in what European country?,Germany,geography
Easy,What city is second largest in Australia?,Melbourne,geography
Medium,Which country (and it's territories) cover the most time zones?,France,geography
Easy,What is the largest lake in Africa?,Lake Victoria,geography
Easy,In which U.S. state would you find Mount Rushmore?,South Dakota,geography
Easy,In what year did Nintendo release its first game console in North America?,1985,video-games
VeryHard,"What popular videogame character goes by the codename ""Killer Bee""?",Cammy,video-games
Medium,Superstar rapper/producer Dr. Dre played an arms' dealer in which videogame?,50 Cent: Bulletproof,video-games
Easy,The Nintendo Game Boy utilized which type of display system?,LCD,video-games
Hard,Where is the headquarters of Nintendo?,Kyoto,video-games
Medium,Pokémon was originally released on which videogame console?,Gameboy,video-games
Medium,"""V-Bucks"" are the in-game currency for which famous videogame franchise?",Fortnite,video-games
Medium,Which videogame console did Nintendo release directly prior to the Wii?,GameCube,video-games
Hard,Which iconic videogame character originated as a simple placeholder?,Kirby,video-games
Medium,Which popular videogame creatures come from the Howling Abyss?,Poros,video-games
Medium,A computer opponent's ability to adaptively challenge a player is known as what?,Artificial Intelligence,video-games
VeryHard,"How many different shapes of four-connected blocks are there in ""Tetris""?",7,video-games
Medium,"What is the name of the primary world upon which the ""World of Warcraft"" takes place?",Azeroth,video-games
Hard,"What is the name of the star system in which the ""Star Fox"" universe takes place?",Lylat,video-games
Easy,Solid Snake is a hero in which famous videogame franchise?,Metal Gear,video-games
Medium,"Which ""Mortal Kombat"" character has the ability to transform into a dragon?",Liu Kang,video-games
Easy,What color do the ghost enemies turn to once Pac-Man eats a Power Pellet?,Blue,video-games
Medium,"""V-Bucks"" are the in-game currency for which famous videogame franchise?",Fortnite,video-games
VeryHard,What was the name of the last game released as a physical cartridge for the Super Nintendo?,Fire Emblem: Thracia 776,video-games
Medium,"In 2018, which videogame company did actor Alfonso Ribeiro sue for unethically capitalizing off content he created?",Epic Games,video-games
Easy,"What is the date setting of the original ""Call of Duty""?",World War II,video-games
Medium,"What is the object that opposing players must destroy in order to win at ""League of Legends""?",Nexus,video-games
VeryHard,"Which pop media icon was recently memorialized in ""World of Warcraft"" in late 2018?",Stan Lee,video-games
Easy,Solid Snake is a hero in which famous videogame franchise?,Metal Gear,video-games
Easy,What are the professions of Mario and his brother Luigi?,Plumbers,video-games
Easy,"What classic videogame did Tony Stark catch a member of S.H.I.E.L.D. playing in the first ""Avengers"" movie?",Galaga,video-games
Easy,What is the name of the circular object that is used to collect Pokémon?,Poké ball,video-games
Medium,"Which famous entertainer composed music for  ""Sonic 3""?",Michael Jackson,video-games
Hard,Which videogame holds the record for having the highest budget ever to produce?,Grand Theft Auto V,video-games
VeryHard,"How many different shapes of four-connected blocks are there in ""Tetris""?",7,video-games
